🕘️更新时间,#genre#
河北卫视,http://211.142.224.62:2023/paiptv/hbws1.m3u8
河北卫视,http://39.150.98.32:7799/tsfile/live/0117_1.m3u8$订阅源
河北卫视,http://222.85.50.23:6070/hls/28/index.m3u8$订阅源
河北卫视,http://171.217.136.165:10001/hls/36/index.m3u8$订阅源
河北卫视,http://39.150.98.32:7799/tsfile/live/0117_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
河南卫视,http://1.94.31.214/php/hntv.php?id=hnws$订阅源
河南卫视,http://171.217.136.165:10001/hls/38/index.m3u8$订阅源
河南卫视,http://222.85.50.23:6070/hls/16/index.m3u8$订阅源
河南卫视,http://222.142.185.127:8888/hls/9/index.m3u8$订阅源
河南卫视,http://live1.hrtn.net/live/henwshd_3000.m3u8?auth_key=1761355085-4aaccf09fbca5a07bd77ba5aa6eba9c7-0-6a928241a9fb4a1737bd3d0bf71b816d$订阅源
河南卫视,http://39.150.98.32:7799/tsfile/live/0139_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
吉林卫视,http://27.41.245.32:801/hls/40/index.m3u8$订阅源
吉林卫视,http://1.31.14.70:54321/hls/5/index.m3u8$订阅源
吉林卫视,http://39.150.98.32:7799/tsfile/live/0116_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
江苏卫视,http://39.150.98.32:7799/tsfile/live/0127_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://211.142.224.62:2023/paiptv/jsws.m3u8
江苏卫视,https://txmov2.a.kwimgs.com/upic/2023/02/07/12/BMjAyMzAyMDcxMjQ3NDlfNzM5MzQzNzIyXzk1NjcxMTk5ODM5XzBfMw==_b_Bb92095c7df3c98b458dd14abf1d4b575.mp4$订阅源
江苏卫视,http://27.41.245.32:801/hls/42/index.m3u8$订阅源
江苏卫视,http://222.142.185.127:8888/hls/20/index.m3u8$订阅源
江苏卫视,http://222.85.50.23:6070/hls/20/index.m3u8$订阅源
江苏卫视,http://1.24.39.180:808/hls/30/index.m3u8$订阅源
江苏卫视,http://1.31.14.70:54321/hls/3/index.m3u8$订阅源
江苏卫视,http://live1.hrtn.net/live/jswshd_3000.m3u8?auth_key=1761355085-9bd72dcedfa5e77e80ae61e0c66a8e2c-0-d4fc6b794313cf6d5688a1ca2435970a$订阅源
江苏卫视,http://39.150.98.32:7799/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&authid=0$河南酒店源
江西卫视,http://39.150.98.32:7799/tsfile/live/0138_2.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://211.142.224.62:2023/paiptv/jxws.m3u8
江西卫视,http://27.41.245.32:801/hls/43/index.m3u8$订阅源
江西卫视,http://222.85.50.23:6070/hls/29/index.m3u8$订阅源
江西卫视,http://171.217.136.165:10001/hls/29/index.m3u8$订阅源
